Study ID,Study_Publication_Year,Study Class,Treatment Focus (Study level),N Randomized,N Randomized Detail,PTSD Criteria Met at Baseline Percent,PTSD Criteria Met at Baseline Percent Detail,PTSD Severity at Baseline Definition,PTSD Severity at Baseline Mean,PTSD Severity at Baseline Standard Deviation,PTSD Severity at Baseline Detail,Additional PTSD Severity Data,Duration of Symptoms/Diagnosis Mean,Duration of Symptoms/Diagnosis Standard Deviation,Duration of Symptoms/Diagnosis Detail,Active Duty Military Percent,Service-Connected Veteran Percent,Service-Connected Veteran Percent Detail,Veteran Percent,Community Percent,Military Status,Military Status Detail,Age Mean,Age Standard Deviation,Age Detail,Female Percent,Female Detail,Male Percent,Race/Ethnicity Reported,"Race, White","Race, Black","Race, AIAN","Race, Asian","Race, NHPI","Race, Other","Race, Detail","Ethnicity, Hispanic","Ethnicity, Hispanic Detail",Percent Treatment-naive,Percent Treatment-naive Detail,Percent with Depression,Percent with Depression Detail,Percent with TBI History,Percent with TBI History Detail,Trauma Type,Trauma Detail,Trauma Types Mean,Trauma Types Standard Deviation,Trauma Types Detail,Trauma Events Mean,Trauma Events Standard Deviation,Trauma Events Detail,SUD Substance Class,SUD Specific Substance Target,Current SUD Inclusion/Exclusion Criteria,Percent With Any SUD Detail,Patients with Suicidality Excluded,Suicide or Self-Directed Violence Exclusion/Inclusion Criteria,Suicide or Self-Directed Violence Definition,Suicide or Self-Directed Violence Percent,Suicide or Self-Directed Violence Detail,Psychotic Disorder or Symptom Inclusion/Exclusion Criteria,Psychotic Disorder or Symptom Related Definition,Psychotic Disorder or Symptom Related Percent,Psychotic Disorder or Symptom Related Detail,Personality Disorder Definition,Personality Disorder Percent,Personality Disorder Detail,Anxiety Disorder Definition,Anxiety Disorder Percent,Anxiety Disorder Detail,Prior Inpatient Hospitalization Percent,Prior Inpatient Hospitalization Percent Detail,Geometric Point,Risk of Bias Rating,Citation,PTSDPubs ID,Year Added to PTSD-Repository
connor2006,2006,Pharmacotherapy,PTSD,18,,1,,SI-PTSD,17.2,13.2,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,,1,Community,,41.3,10.1,,0.7308,,0.2692,Race data reported,0.6154,,,,,0.3846,,,,,,0,,,,Mixed,"combat-related, rape/sexual assault, accidents, community/school violence, other (unexpected death of or threat of harm to a loved one; unwanted therapeutic abortion)",,,,,,,,,Excluded,0%,,,,,,,,,,,,,,,,,,POINT (-95.71289 37.09024),Low,"Connor KM, Davidson JRT, Weisler RH, et al. Tiagabine for posttraumatic stress disorder: effects of open-label and double-blind discontinuation treatment. Psychopharmacology (Berl). 2006 Jan;184(1):21-5. doi: 10.1007/s00213-005-0265-3. PMID: 16341846.",29324,2019
cook2010,2010,Psychotherapy,PTSD,124,,1,,CAPS,80.4,14.66,,Additional definitions of PTSD severity at baseline reported in the study,,,,0,0.677,,1,0,Veteran,,59.42,3.55,,0,,1,Race data reported,0.4194,0.5161,,,,0.0645,,,,,,0.5645,,,,Combat-related,,,,,,,,,,Excluded,0%,,,,,,,,,,,,,Anxiety disorder: SCID for DSM-IV,0.524,,,,POINT (-95.71289 37.09024),High,"Cook JM, Harb GC, Gehrman PR, et al. Imagery rehearsal for posttraumatic nightmares: a randomized controlled trial. J Trauma Stress. 2010 Oct;23(5):553-63. doi: 10.1002/jts.20569. PMID: 20839311.",84153,2019
cottraux2008,2008,Psychotherapy,PTSD,60,,1,,PCL,60.52,8.91,,Additional definitions of PTSD severity at baseline reported in the study,8.44,11.73,,,,,,1,Community,,41.04,10.1,,0.7619,,0.2381,,,,,,,,,,,,23.81% pharmacotherapy-naïve; 45.24% psychotherapy-naive,,,,,Mixed,"rape/sexual assault, accidents, illness/medical procedure, community/school violence, other (not specified)",,,,1.78,0.9,,,,,,,,,,,,,,,Axis II personality disorder: DSM-IV,0.4762,,,,,,,POINT (2.536185 46.18701),High,"Cottraux J, Note I, Yao S-N, et al. Randomized controlled comparison of cognitive behavior therapy with Rogerian supportive therapy in chronic post-traumatic stress disorder: a 2-year follow-up. Psychother Psychosom. 2008 Jan;77(2):101-10. doi: 10.1159/000112887. PMID: 18230943.",30573,2019
dadabayev2020,2020,Pharmacotherapy,PTSD,21,total for two arms for patients with comorbid PTSD and chronic pain,1,,,,,,Additional definitions of PTSD severity at baseline reported in the study,,,,0,,,1,0,Veteran,,42.8,10.5,,0.381,,0.619,Race data reported,0.9524,,,,,0.0476,,,,,,,,,,Other,"""related to military service""",,,,,,,,,Excluded,"Current (past 3 months) alcohol abuse or dependence: 0% (excluded)


Active substance use disorder: 0% (excluded)",,,,,Active suicidal or homicidal ideation on presentation was exclusion criterion,,Current or lifetime history of psychotic disorder,0,Excluded,,,,,,,,,POINT (-95.71289 37.09024),Low,"Dadabayev AR, Joshi SA, Reda MH, et al. Low dose ketamine infusion for comorbid posttraumatic stress disorder and chronic pain: a randomized double-blind clinical trial. Chronic Stress (Thousand Oaks). 2020 Jan-Dec;4:2470547020981670. doi: 10.1177/2470547020981670. PMID: 33426410",1563929,2022
davidson1990,1990,Pharmacotherapy,PTSD,46,,1,,SI-PTSD,25.14,8.01,,Additional definitions of PTSD severity at baseline reported in the study,,,,0,,,1,0,Veteran,,,,,,,,,,,,,,,,,,,,0.1957,,,,Combat-related,,1.2,0.5,,,,,,,Included,15.22%,,,,,,,,,,,,,,,"GAD: 34.78%;


Panic disorder: 13.04%",,,POINT (-95.71289 37.09024),High,"Davidson J, Kudler H, Smith R, et al. Treatment of posttraumatic stress disorder with amitriptyline and placebo. Arch Gen Psychiatry. 1990 Mar;47(3):259-66. PMID: 2407208.",912,2019
davidson2001,2001,Pharmacotherapy,PTSD,208,,1,,CAPS-2,73.7,16.1,,Additional definitions of PTSD severity at baseline reported in the study,12.3,11.8,,,,,,1,Community,,37.1,10.6,,0.7788,,0.2212,Race data reported,0.8365,0.1202,,,,0.0433,,,,,,0.4,,,,Mixed,"accidents, rape/sexual assault, combat-related, natural or manmade disasters, community/school violence, other (""seeing someone hurt or die"", ""other event"")",,,,,,,,,Included,"AUD: 25.48%


SUD: 15.87%",,,,,,,,,,,,,Current anxiety disorder,0.1971,,,,POINT (-95.71289 37.09024),Some Concerns,"Davidson JR, Rothbaum BO, van der Kolk BA, et al. Multicenter, double-blind comparison of sertraline and placebo in the treatment of posttraumatic stress disorder. Arch Gen Psychiatry. 2001 May;58(5):485-92. PMID: 11343529.",23358,2019
davidson2003,2003,Pharmacotherapy,PTSD,29,,1,,SI-PTSD,36.9,6.9,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,,1,Community,,46.5,13,,,65.00% of 8-week completers,,,,,,,,,,,,,,0.7308,,,,Mixed,"child sexual abuse, community/school violence, combat-related, accidents, other (non-specified)",,,,,,,,,Excluded,0%,,,,,,,,,,,,,,,"GAD: 53.85%;


Agoraphobia: 57.69%;


Panic disorder: 30.77%;


Social anxiety: 19.23%",,,POINT (-95.71289 37.09024),High,"Davidson JR, Weisler RH, Butterfield MI, et al. Mirtazapine vs. placebo in posttraumatic stress disorder: a pilot trial. Biol Psychiatry. 2003 Jan 15;53(2):188-91. PMID: 12547477.",25290,2019
davidson2006a,2006,Pharmacotherapy,PTSD,329,,1,,CAPS-SX17,82,15.08,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,,1,Community,,41.3,12.57,,0.541,,0.459,,,,,,,,,,,,,,,,,Mixed,"combat-related, child sexual abuse, rape/sexual assault, accidents, natural or manmade disasters, other (nonsexual abuse, witnessing unexpected death)",,,,,,,,,Excluded,0%,,,,,,,,,,,,,,,,,,,High,"Davidson JRT, Baldwin DV, Stein DJ, et al. Treatment of posttraumatic stress disorder with venlafaxine extended release: a 6-month randomized controlled trial. Arch Gen Psychiatry. 2006 Oct;63(10):1158-65. doi: 10.1001/archpsyc.63.10.1158. PMID: 17015818.",28838,2019
davidson2006b,2006,Pharmacotherapy,PTSD,538,,1,,CAPS-SX17,82.5,15.04,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,,1,Community,,,,,,,,,,,,,,,,,,,,,,,,Mixed,"combat-related, child sexual abuse, rape/sexual assault, accidents, community/school violence, other (""unexpected death"")",,,,,,,,,Excluded,0%,,,,,,,,,,,,,,,,,,POINT (-95.71289 37.09024),High,"Davidson JRT, Rothbaum BO, Tucker PM, et al. Venlafaxine extended release in posttraumatic stress disorder: a sertraline- and placebo-controlled study. J Clin Psychopharmacol. 2006 Jun 1;26(3):259-67. doi: 10.1097/01.jcp.0000222514.71390.c1. PMID: 16702890.",28788,2019
davidson2007,2007,Pharmacotherapy,PTSD,232,,1,,CAPS,82.55,15.12,,Additional definitions of PTSD severity at baseline reported in the study,13.1,13.3,,,,,,1,Community,,42.6,,,0.66,,0.34,,,,,,,,,,,,,0.38,,,,Mixed,"rape/sexual assault, community/school violence, accidents, combat-related, natural or manmade disasters, other (non-specified)",,,,7.3,3.1,,,,Excluded,0%,,,,,,,,,,,,,,,,,,POINT (-95.71289 37.09024),High,"Davidson JR, Brady K, Mellman TA, et al. The efficacy and tolerability of tiagabine in adult patients with post-traumatic stress disorder. J Clin Psychopharmacol. 2007 Feb;27(1):85-8. doi: 10.1097/JCP.0b013e31802e5115. PMID: 17224720.",29658,2019
davis2004,2004,Pharmacotherapy,PTSD,42,,1,,CAPS,81.8,19,,Additional definitions of PTSD severity at baseline reported in the study,29.9,12.9,,0,,,0.9762,0.0238,Mixed,,53.8,8.1,,0.0238,,0.9762,Race data reported,0.5366,0.4634,,,,,,,,,,0.3902,,,,Mixed,"combat-related, rape/sexual assault",,,,,,,,,Excluded,"Current


SUD (except nicotine and caffeine): 0%


AUD (lifetime): 29.27%


SUD (lifetime): 12.20%",,,,,,,,,,,,,Panic ± agoraphobia,0.0732,,,,POINT (-95.71289 37.09024),Some Concerns,"Davis LL, Jewell ME, Ambrose S, et al. A placebo-controlled study of nefazodone for the treatment of chronic posttraumatic stress disorder: a preliminary study. J Clin Psychopharmacol. 2004;24(3):291-7.  PMID: 15118483.",26401,2019
davis2008a,2008,Pharmacotherapy,PTSD,36,,1,,CAPS,85.14,17.33,,Additional definitions of PTSD severity at baseline reported in the study,,,,0,,,1,0,Veteran,,53.46,7.58,,0.0571,,0.9429,Race data reported,0.9259,0.0741,,,,,,,,,,0.5714,,,,Combat-related,,,,,,,,,,Excluded,0%,,,,,,,,,,,,,Panic disorder,0.129,,,,POINT (-95.71289 37.09024),Some Concerns,"Davis LL, Ward C, Rasmusson A, et al. A placebo-controlled trial of guanfacine for the treatment of posttraumatic stress disorder in veterans. Psychopharmacol Bull. 2008;41(1):8-18.  PMID: 18362867.",34102,2019
davis2008b,2008,Pharmacotherapy,PTSD,85,,1,,CAPS,76.3,17.3,,Additional definitions of PTSD severity at baseline reported in the study,24.4,10.9,,0,,,1,0,Veteran,,55.2,6.8,,0.0244,,0.9756,,,,,,,,,,,,,,,,,Mixed,"combat-related, other (non-specified)",,,,,,,,,Excluded,0%,,,,,,,,,,,,,,,,,,POINT (-95.71289 37.09024),Some Concerns,"Davis LL, Davidson JR, Ward LC, et al. Divalproex in the treatment of posttraumatic stress disorder: a randomized, double-blind, placebo-controlled trial in a veteran population. J Clin Psychopharmacol. 2008 Feb;28(1):84-8. doi: 10.1097/JCP.0b013e318160f83b. PMID: 18204347",30463,2019
davis2018b,2018,Psychotherapy & CIH,PTSD,214,,1,,CAPS-IV,82.51,18.16,,Additional definitions of PTSD severity at baseline reported in the study,,,,0,0.351,,1,0,Veteran,,51.4,11.2,,0.162,,0.838,Race data reported,0.3194,0.6387,,,,0.0419,,,,,,0.5602,,0%,Severe,Mixed,"Combat-related; Rape/sexual assault; Other (noncombat military, civilian)",,,,,,,,,Included,"Past 12 months:


Alcohol dependence: 13.09%


Alcohol abuse: 4.71%


Substance dependence: 9.42%


Substance abuse:1.57%",,,Actively considering suicide,0,,,Schizophrenia or a schizoaffective disorder,0,,,,,,,"Panic disorder: 31.41%


Agoraphobia: 43.98%


Social phobia: 21.47%


Obsessive compulsive disorder: 6.81%",,,POINT (-95.71289 37.09024),Some Concerns,"Davis LL, Whetsell C, Hamner MB, et al. A multisite randomized controlled trial of mindfulness-based stress reduction in the treatment of posttraumatic stress disorder. Psychiatric Research and Clinical Practice. 2018b Nov 5;1(2):39-48. doi: 10.1176/appi.prcp.20180002..",51046,2020
davis2020a,2020,Other mixed,PTSD,212,,1,,CAPS-5,36.6,8.7,,Additional definitions of PTSD severity at baseline reported in the study,,,mean 24.8 (SD 16.2) years since index trauma,,,,,0.086,Mixed,"""91.4% veteran or active duty""",50.6,12.9,,0.34,,0.66,Race data reported,0.617,0.313,,,,0.072,,,,,21.5% had no history or did not remember,,,13.90%,,Mixed,"MST; Combat-related; Rape/sexual assault; Other (childhood, not specified; other adult, not specified)",,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-95.71289 37.09024),High,"Davis LW, Schmid AA, Daggy JK, et al. Symptoms improve after a yoga program designed for PTSD in a randomized controlled trial with veterans and civilians. Psychol Trauma. 2020 Apr 20 doi: https://dx.doi.org/10.1037/tra0000564. PMID: 32309986.",1552693,2020
davis2020b,2020,Pharmacotherapy,PTSD,78,,1,,CAPS,81,15.2,,Additional definitions of PTSD severity at baseline reported in the study,4.65,4.9,Duration of PTSD illness,0,0.487,,1,0,Veteran,,38,9.9,,0.064,,0.936,Race and Ethnicity data reported,0.385,0.59,,,,0.026,,0.013,"Spanish, Hispanic, or Latino",,,0.59,Current MDD,,,Mixed,"Combat-related, Other (not specified)",,,,,,,,,Excluded,"Substance abuse or dependence in the past month: 0% (excluded)


Past year:


Alcohol dependence: 10.3%


Alcohol abuse: 15.4%


Substance dependence: 3.8%


Substance abuse: 1.3%",,,MADRS question 10 score ≥6,0,"Excluded.


Active suicidal ideation also an exclusion criterion",,Lifetime psychotic disorder or active psychotic ideation,0,Excluded,,,,See detail,,"Current


Panic disorder: 20.5%


Agoraphobia: 25.6%


Social anxiety: 15.4%",,,POINT (-95.71289 37.09024),Low,"Davis LL, Pilkinton P, Lin C, et al. A randomized, placebo-controlled trial of mirtazapine for the treatment of posttraumatic stress disorder in veterans. J Clin Psychiatry. 2020 10 20;81(6):20. doi: 10.4088/JCP.20m13267. PMID: 33084254",1560536,2022
davis2021,2021,Psychotherapy,PTSD,92,46 couples; data for sample characteristics entered for veterans only,1,,CAPS-IV,70.8,13.2,,Additional definitions of PTSD severity at baseline reported in the study,,,,0,,,1,0,Veteran,,40,10.3,,0.1087,,0.8913,Race data reported,0.8696,,,,,0.1304,White is only category reported,,,,,0.217,,34.80%,"Described in text as any experience of TBI, but in Table 1 as having TBI as index trauma",Mixed,Combat-related; Other (TBI),,,,,,,,,Included,"NR; history of substance abuse permitted, with agreement to limit use that would interfere with treatment.",,,,,Imminent suicidality was exclusion criterion,,,,Uncontrolled psychotic disorder was exclusion criterion,,,,Anxiety,0.1739,,,,POINT (-95.71289 37.09024),High,"Davis LW, Luedtke BL, Monson C, et al. Testing adaptations of cognitive-behavioral conjoint therapy for PTSD: a randomized controlled pilot study with veterans. Couple Family Psychol. 2021 Jun;10(2):71-86. doi: 10.1037/cfp0000148.",1571223,2022
decker2018,2018,Psychotherapy & CIH,PTSD,38,"characteristics reported for completers, n=31",1,,PCL-M,68.2,8,,Additional definitions of PTSD severity at baseline reported in the study,,,,0,,,1,0,Veteran,,44.5,,,0.0323,,0.9677,Race data reported,0.5484,0.4516,,,,,,,,,,0.6452,severe depression,,,Combat-related,,,,,,,,,,Excluded,0%,,,,,,,,,,,,,,,Agoraphobia:,,,POINT (-95.71289 37.09024),High,"Decker KP, Deaver SP, Abbey V, et al. Quantitatively improved treatment outcomes for combat-associated PTSD with adjunctive art therapy: randomized controlled trial. Art Therapy. 2018;35(4):184-94. doi: 10.1080/07421656.2018.1540822.",1587975,2020
dedert2019,2019,Psychotherapy,PTSD+SUD,40,,1,,CAPS-5,39.1,9.6,,Additional definitions of PTSD severity at baseline reported in the study,,,,0,,,1,0,Veteran,,49.5,10.8,,0.825,,0.175,Race and Ethnicity data reported,0.25,0.575,,,,0.175,,0.05,,,,0.375,,,,,,,,,,,,Drug,Nicotine,Excluded,"Nicotine: 100%; Other Current


SUD (except nicotine): 0% Lifetime AUD: 60.00%


Lifetime drug dependence: 72.50%",,,,,,,,,,,,,,,Social anxiety:,,,POINT (-95.71289 37.09024),High,"Dedert EA, Resick PA, Dennis PA, et al. Pilot trial of a combined cognitive processing therapy and smoking cessation treatment. J Addict Med. 2019 Jul/Aug;13(4):322-30. doi: 10.1097/ADM.0000000000000502. PMID: 30664539.",1556168,2020
dekleine2012,2012,Psychotherapy & pharmacotherapy,PTSD,75,,1,,CAPS,67.88,,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,,1,Community,,38.3,11.4,,0.806,,0.194,,,,,,,,,,,,,0.5373,,,,Mixed,"combat-related, rape/sexual assault, accidents, other (violent nonsexual assault; ""miscellaneous"")",,,,,,,,,Excluded,0%,,,,,,,,,,,,,Anxiety disorders,0.418,,,,POINT (5.281473 52.10081),High,"de Kleine RA, Hendriks GJ, Kusters WJ, et al. A randomized placebo-controlled trial of D-cycloserine to enhance exposure therapy for posttraumatic stress disorder. Biol Psychiatry. 2012 Jun 1;71(11):962-8. doi: 10.1016/j.biopsych.2012.02.033. PMID: 22480663.",38434,2019
dell2022,2022,Psychotherapy,PTSD,138,,1,,CAPS-5,40.84,9.86,,Additional definitions of PTSD severity at baseline reported in the study,,,,0.3358,,,0.6642,0,Mixed,,45.56,11.85,,0.1194,,0.8806,Not reported,,,,,,,,,,,60% on psychotropic medication(s) at baseline,0.811,HADS depression ≥8,,,Mixed,Combat-related; Other (trauma occurring during military service but not required to be specific to deployment),,,,,,"Traumatic deployment exposures: mean (SD): 7.86 (3.37)
Other traumatic events N",,,Included,"AUD, AUDIT ≥8: 62.20% (reported for 127 of 134 participants)
AUD, MINI: 33.58%
SUD, MINI: 4.48%",,,Low or medium risk of self-harm,0.627,"Excluded: high risk of self-harm, with active current plans and intent",,,,Excluded: current psychosis,,,,HADS anxiety ≥8,0.88,,,,POINT (134.491 -25.73289),High,"Dell L, Sbisa AM, Forbes A, et al. Effect of massed v. standard prolonged exposure therapy on PTSD in military personnel and veterans: a non-inferiority randomised controlled trial. Psychol Med. 2022 Apr 20:1-8. doi: 10.1017/S0033291722000927. PMID: 35440345.",1592061,2023
devilly1998,1998,Psychotherapy,PTSD,51,,0.9608,,M-PTSD,118.59,22.88,,Additional definitions of PTSD severity at baseline reported in the study,,,,0,,,1,0,Veteran,,50.1,6.48,,0,,1,,,,,,,,,,,,,,,,,Combat-related,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (134.491 -25.73289),High,"Devilly GJ, Spence SH, Rapee RM. Statistical and reliable change with eye movement desensitization and reprocessing: treating trauma within a veteran population. Behav. Ther. 1998 Summer;29(3):435-55. doi: 10.1016/S0005-7894(98)80042-7.",20740,2019
devilly1999,1999,Psychotherapy,PTSD,23,"32 randomized, characteristics and results only reported for completer sample of n=23",1,,PTSD-I,92.31,12.47,,Additional definitions of PTSD severity at baseline reported in the study,9.37,12.29,mean 112.44 (SD 147.49) months,,,,,1,Community,,37.96,12.82,,0.652,,0.348,Not reported,,,,,,,,,,,43.48% currently taking psychotropic medication at baseline; 56.52% had taken psychotropic medication within the past 3 months,,,,,Mixed,"Accidents; Natural or manmade disasters; Rape/sexual assault; Community/school violence; Other (""war zone"")",,,,,,,,,,,,,,,"Excluded ""depressed with suicidal ideation judged severe enough to warrant concern for the participant’s life""",,,,"""current psychosis"" was exclusion criterion",,,,,,,,,POINT (134.491 -25.73289),High,"Devilly GJ, Spence C. The relative efficacy and treatment distress of EMDR and a cognitive-behavior trauma treatment protocol in the amelioration of posttraumatic stress disorder. J Anxiety Disord. 1999 2016-09-15;13(1-2):131-57. doi: 10.1016/S0887-6185(98)00044-9. PMID: 10225505.",14687,2023
difede2014,2014,Psychotherapy & pharmacotherapy,PTSD,25,,1,,CAPS,78.48,22.95,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,,1,Community,,45.84,10.51,,0.24,,0.76,Race and Ethnicity data reported,0.84,0.04,,,,0.12,,0.12,,,,0.64,,,,Terrorism/political violence/forced displacement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-95.71289 37.09024),Some Concerns,"Difede J, Cukor J, Wyka KE, et al. D-cycloserine augmentation of exposure therapy for post-traumatic stress disorder: a pilot randomized clinical trial. Neuropsychopharmacology. 2014 Apr;39(5):1052-108. doi: 10.1038/npp.2013.317. PMID: 24217129.",41641,2019
difede2022,2022,Psychotherapy & pharmacotherapy,PTSD,192,,1,,CAPS for DSM-IV,73.04,19.47,,Additional definitions of PTSD severity at baseline reported in the study,,,,0.24,,,0.76,0,Mixed,,34.62,7.8,,0.104,,0.896,Race and Ethnicity data reported,0.458,0.151,,,,0.391,"""Other"" abstracted includes ""other"" reported + Hispanic/Latino",0.276,Ethnicity not reported separately from race,38.50%,No past PTSD treatment,0.542,MINI for DSM-IV,34.60%,Self-reported lifetime TBI,Combat-related,,,,65.3% also had physical or sexual trauma,,,,,,"Excluded: substance dependence within past 90 days, except nicotine and caffeine","Alcohol abuse: 24.0%
Substance abuse: 6.3%
Participants meeting MINI criteria for abuse (past 12 months) and dependence (past 12 months but not past 3 months)",,,,,,,Lifetime or current diagnosis of schizophrenia or other psychotic disorder,0,Exclusion criterion,,,,,,,,,POINT (-95.71289 37.09024),Low,"Difede J, Rothbaum BO, Rizzo AA, et al. Enhancing exposure therapy for posttraumatic stress disorder (PTSD): a randomized clinical trial of virtual reality and imaginal exposure with a cognitive enhancer. Translational psychiatry. 2022;12(1):299. doi: 10.1038/s41398-022-02066-x. PMID: 35896533.",1597237,2023
doenyasbarak2022,2022,Nonpharmacologic biological,PTSD,35,Sample characteristics reported for completer sample only (N=29),1,,CAPS-5,48.1,11.1,,Additional definitions of PTSD severity at baseline reported in the study,,,treatment resistant PTSD for at least 4 years (inclusion criterion),0,,,1,0,Veteran,,35.7,8.7,,0,,1,Not reported,,,,,,,,,,0%,"Treatment-resistant, exposed to at least one trauma focused therapy and pharmacotherapy (inclusion criteria)",0.7931,current major depression,0%,Excluded,Combat-related,,,,,,,,,,Excluded,Current substance use (except prescribed cannabis): 0% (excluded),,,,,Excluded: serious current suicidal ideation,,,,Excluded: current psychotic episode,,,,,,,,,POINT (35.00445 31.4611),High,"Doenyas-Barak K, Catalogna M, Kutz I, et al. Hyperbaric oxygen therapy improves symptoms, brain's microstructure and functionality in veterans with treatment resistant post-traumatic stress disorder: a prospective, randomized, controlled trial. PLoS One. 2022 Feb 22;17(2):e0264161. doi: 10.1371/journal.pone.0264161. PMID: 35192645.",1587823,2023
dorrepaal2012,2012,Psychotherapy,PTSD,71,,1,,DTS,85.3,21.8,,Additional definitions of PTSD severity at baseline reported in the study,,,51.5% have duration of symptoms >10 years,,,,,1,Community,,38.9,10.5,,1,,0,,,,,,,,,,,,,0.5493,,,,Mixed,"child sexual abuse, child physical abuse",,,,,,,,,Included,19.72%,,,,,,,,,,,,"Borderline personality disorder: Structured Interview for DSM-IV Personality: 52.11%;


Avoidant personality disorder: Structured Interview for DSM-IV Personality: 25.35%",,,"Social phobia: DSM-IV 40.85%;


Panic disorder: DSM-IV 42.25%",,,POINT (5.281473 52.10081),High,"Dorrepaal E, Thomaes K, Smit JH, et al. Stabilizing group treatment for complex posttraumatic stress disorder related to child abuse based on psychoeducation and cognitive behavioural therapy: a multisite randomized controlled trial. Psychother Psychosom. 2012;81(4):217-25. doi: 10.1159/000335044. PMID: 22585094.",39141,2019
dowd2020,2020,Pharmacotherapy,PTSD,25,,1,,CAPS,65,17.61,,Additional definitions of PTSD severity at baseline reported in the study,6,8,,,,,0.04,0.96,Mixed,,43,12.2,,0.4,,0.6,Race and Ethnicity data reported,0.24,0.56,,,,0.2,,0.08,,,,0.56,,,,Mixed,Rape/sexual assault; Accidents; Illness/medical procedure; Community/school violence; Natural or manmade disasters; Other (observed violence to or death of a loved one),,,,,,,,,Excluded,Current: 0% Lifetime alcohol or substance abuse or dependency: 44.00%,,,,,,,,,,,,,,,"Social anxiety disorder: 12.00%


GAD: 4.00%",,,POINT (-95.71289 37.09024),High,"Dowd SM, Zalta AK, Burgess HJ, et al. Double-blind randomized controlled study of the efficacy, safety and tolerability of eszopiclone vs placebo for the treatment of patients with post-traumatic stress disorder and insomnia. World J Psychiatry. 2020 Mar 19;10(3):21-8. doi: 10.5498/wjp.v10.i3.21. PMID: 32257848.",1552152,2020
duberstein2018,2018,Psychotherapy,PTSD,161,,0.8758,,MPSS,70.6,32.2,,Additional definitions of PTSD severity at baseline reported in the study,,,,0,0,,0,1,Community,,37.6,12.02,,1,,0,Race and Ethnicity data reported,0.5404,0.3737,,,,0.087,,0.1056,,,,1,,,,Child sexual abuse,,,,,,,,,,Excluded,Current: 0% Lifetime substance abuse/dependence: 38.51%,,,,,,,,,,Borderline personality disorder on SCID for DSM-IV,0.5342,,"Other anxiety disorder (not including PTSD, specific diagnoses not specified)",0.5776,,,,POINT (-95.71289 37.09024),High,"Duberstein PR, Ward EA, Chaudron LH, et al. Effectiveness of interpersonal psychotherapy-trauma for depressed women with childhood abuse histories. J Consult Clin Psychol. 2018 Oct;86(10):868-78. doi: 10.1037/ccp0000335. PMID: 30265045.",51365,2020
duffy2007,2007,Psychotherapy,PTSD,58,,1,,PDS,35.8,7.3,,Additional definitions of PTSD severity at baseline reported in the study,,,"time since trauma: median 5 [range 0.3 to 25] years for immediate cognitive therapy group, median 5.4 [range 0.2 to 32] for WL group",,,,,1,Community,,43.9,11.8,,0.3966,,0.6034,,,,,,,,,,,46.55%,psychotherapy-naive,0.6379,,,,Mixed,"terrorism/political violence/forced displacement, community/school violence, accidents",,,,,,Median 3 traumatic events for immediate cognitive therapy group; Median 3 (range 1 to 10) for WL group,,,Included,13.79%,,,,,,,,,,,,,,,"Panic disorder: DSM-IV 20.69%;


Specific phobias: DSM-IV 10.34%;


Generalized anxiety disorder: DSM-IV 5.17%;


Social phobia: DSM-IV 3.45%;


Other anxiety disorder: DSM-IV 3.45%",,,POINT (-2.865634 54.12387),Low,"Duffy M, Gillespie K, Clark DM. Post-traumatic stress disorder in the context of terrorism and other civil conflict in Northern Ireland: randomised controlled trial. BMJ. 2007 Jun 2;334(7604):1147-50. doi: 10.1136/bmj.39021.846852.BE. PMID: 17495988.",29736,2019
dunlop2017,2017,Pharmacotherapy,PTSD,128,,1,,,,,"CAPS past month: 80.9 (14.2)





CAPS past week: 76.1 (16.1)",Additional definitions of PTSD severity at baseline reported in the study,,,,,,,,,,,40.5,12.1,,1,,0,Race and Ethnicity data reported,0.5625,0.3594,,,,0.0781,,0.1016,,,,0.6563,,,,Mixed,"combat-related, other (unspecified child abuse, unspecified)",,,,3.6,1.9,,,,,0%,,,,,,,,,,,,,,,,,,POINT (-95.71289 37.09024),Some Concerns,"Dunlop BW, Binder EB, Iosifescu D, et al. Corticotropin-releasing factor receptor 1 antagonism is ineffective for women with posttraumatic stress disorder. Biol Psychiatry. 2017 Dec;82(12):866-74. doi: 10.1016/j.biopsych.2017.06.024. PMID: 28793974",49315,2019
